,region,MedalsCount,ParticipantsCount,GamesCount,PartPerGamesScaled,SuccessRate
187,Palestine,0,21,6,0.006660919990596348,0.0
188,Guinea,0,67,11,0.01681258949498116,0.0
189,Seychelles,0,83,9,0.02908166374979321,0.0
190,Dominica,0,19,7,0.0035823435243543386,0.0
191,Sao Tome and Principe,0,14,6,0.002089700389206699,0.0
192,Mali,0,87,13,0.019168982416376826,0.0
193,Samoa,0,59,9,0.01863316180375972,0.0
194,Saint Vincent,0,36,8,0.010579108220358908,0.0
195,Saint Lucia,0,26,6,0.009926076848731813,0.0
196,Saint Kitts,0,28,6,0.011232139591986004,0.0
197,Rwanda,0,51,9,0.01515032782174856,0.0
198,El Salvador,0,144,12,0.03996551994357809,0.0
199,Republic of Congo,0,91,12,0.022660188595460127,0.0
200,Equatorial Guinea,0,34,9,0.007749305609974837,0.0
201,Gambia,0,43,9,0.011667493839737395,0.0
202,Guam,0,80,9,0.027775601006539027,0.0
203,Papua New Guinea,0,80,10,0.024292767024527862,0.0
204,Libya,0,74,10,0.021941854086670327,0.0
